Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
camiseta,6.43,1.16,2.23,1.6,5.19,2.04
camiseta,6.25,1.77,5.14,2.59,5.32,2.12
camisón,7.11,1.91,4.57,2.5,5.53,1.87
campamento,7,1.61,4.14,2.26,5.89,2.05
campamento,6.09,1.8,5.5,2.92,6.32,1.73
campana,5.67,1.77,4.7,2.34,6.16,2.39
campaña,4.55,1.76,3.5,2.56,5.14,2.44
campanario,5.62,1.4,3.04,2.11,4.89,2.42
campanero,4.95,0.76,4.24,2.19,5.56,2.35
campanilleo,5.33,1.49,5.4,1.83,5.91,2.31
campeón,6.35,1.98,5.04,2.56,6.56,2.28
campeón,7.33,1.6,4.74,2.47,5.88,2.2
campeonato,6.74,1.45,6.9,1.37,6.4,1.76
camper,5.21,1.18,4.53,2.04,5.52,2.09
campesino,4.62,1.77,4,2.05,4.92,2.4
cámping,6.47,1.5,4.25,2.4,5.62,2.04
campo,6.94,2.04,2.7,2.08,5.8,2.22
campo,5.73,1.94,3.84,2.22,5.74,2.24
campo abajo,4.84,1.5,2.5,1.43,4.57,1.5
campo batalla,3.89,2.16,6.48,2.19,4.05,2.33
campo batalla,4.09,2.04,5.76,2.61,4.09,2.22
campo minas,3.65,1.81,5.5,2.62,3.71,2.29
campus,6.44,1.98,4.17,2.1,5.21,1.55
camuflaje,5.85,1.39,4.2,2.46,6.1,2.47
caña,3.68,1.86,4.69,2.6,5,2.28
caña,4.64,1.31,3,1.86,4.38,2.24
caña,3.4,1.5,4.9,2.21,4.09,2.52
canabis,6.05,2.46,5.85,2.94,5,2.74
canal,5.71,1.74,4.05,2.33,5.81,1.91
canal,5.67,1.5,2.68,2.16,5.52,1.96
canalla,3.25,1.41,6.26,2.66,4.88,2.39
canalón,4.05,1.89,3.81,2.06,4.64,2.15
canario,6.37,1.95,3.5,1.85,5.41,1.97
cancelación,3.74,0.93,3.9,2.39,5.28,2.87
cancelar,3.61,1.2,4.29,2.17,5.83,2.53
cáncer,1.9,1.84,5.14,2.87,2.9,2.19
cancha,6,1.55,4.24,2.45,6,1.96
canciller,4.91,1.5,3.67,2.09,5.04,2.56
canción,7.59,1.76,4.6,2.58,6.95,1.76
canción cuna,7.57,1.29,3.79,1.98,6.05,2.58
cancioneta,5.38,1.4,3.68,2.08,5.05,1.36
cancro,2.58,1.3,4.25,2.47,4.54,2.23
candado,4.8,0.89,3.33,2.13,5.16,2.36
candelabro,6.47,1.5,3.88,2.13,5.29,2.27
candelero,5.95,1.32,3.55,2.04,5.38,1.94
candidato,4.5,1.7,5.32,2.32,5.48,1.75
candidato,5.5,1.19,4.4,2.63,5.75,2.09
candidatura,4.8,1.4,3.05,1.99,4.95,1.65
candor,6.14,1.39,3.9,2.1,6.18,2.24
canela,6.75,1.29,3.72,1.99,5.91,1.69
cangrejo,5.81,1.5,4.13,2.55,4.52,1.66
canguelo,3.2,1.79,4.52,2.48,4.68,2.56
canguro,6.45,1.28,4.27,2.69,5.37,2.29
caníbal,2.9,2.1,6.1,2.14,3.2,2.12
canibalismo,2.32,1.92,6.05,2.18,4.09,3.22
caniche,6.1,2.2,3.6,1.85,6.38,1.96
canino,6.22,1.83,4.76,2.68,5.24,2.24
caño,5.29,1.15,3.14,1.91,5.11,1.74
canoa,5.76,2.02,3.7,2.34,6.15,2.41
canon,4.9,1.58,5.86,2.01,4.8,2.29
cañón,4.74,1.65,5.09,2.83,4.95,2.5
cañón,5.5,1.98,3.9,2.73,4.1,2.36
cañonazo,2.79,2.06,5.55,2.86,3.7,1.92
cañonera,3.58,2.14,5.86,2.52,3.4,2.04
cansado,4.29,1.35,3.67,2.18,5.06,2.38
cansado,3.25,1.33,2.9,1.84,4.55,2.47
cansino,3.86,1.75,2.52,1.63,4.73,2.05
canta,7.5,1.37,4.1,2.49,6.67,1.88
Cantalupo,6.1,1.68,3.91,2.43,5.68,1.86
cantante,6.9,1.41,4.86,2.08,5.79,2.17
cantera,4.74,1.19,3.57,2.04,5.74,1.96
cantidad,5.33,1.11,3.84,2.32,5.86,1.56
cantidad mínima,4.95,0.84,3.33,2.24,5.18,2.06
cantina,5.05,1.84,3.2,1.7,5.15,2.25
cantina,5.6,1.35,3.92,2.72,5.35,2.23
canto,4.32,1.16,3.29,2.43,5.2,2.31
canto a tirolesa,6.1,2.21,3.33,2.15,5.9,2.19
caoba,6.48,1.72,2.67,1.8,5.63,2.08
caos,2.84,1.64,6.31,2.33,3.31,2.56
caótico,4.55,2.11,6.14,2.12,3.95,2.82
capa,5.95,1.39,4.1,2.41,5.13,2.16
capa,5.2,1.2,3.45,2.32,6.04,2.08
capaces,6.64,1.79,3.38,2.25,6.17,2.62
capacidad,7,1.59,4.85,2.74,6.55,2.48
capacidad,6.63,1.42,4.29,2.39,6.6,1.88
capacidad,5.14,1.49,3.67,2.13,6.08,1.96
capataz,4.89,2.05,3.55,2.3,5.08,1.91
capataz,4.71,2.1,5.3,2.49,5.11,2.67
capaz,7.05,1.58,4,2.38,7.07,1.67
capellán,5.1,2.2,3.56,2.23,5.18,1.87
capellán,5.84,1.8,3.57,2.52,5,2.23
capilla,6.67,2.09,2.45,1.82,3.8,1.68
capital,5.29,1.82,3.14,2.08,5.85,2.13
capitalismo,3.62,1.94,5.39,2.89,5.67,2.4
capitalista,5.24,1.81,3.08,2.45,5.3,2.68
capitalizar,5.95,1.5,3.91,2.52,6.12,1.86
capitán,5.71,1.49,3.86,1.93,5,2.35
capítulo,5.7,1.72,3.86,2.53,6.21,1.78
capo,4.37,1.8,5.14,2.48,5.17,2.01
capó,4.89,1.76,2.96,2.23,6,1.84
capricho,5.6,1.64,3.59,1.74,5.7,1.95
capricho,6.16,1.71,4.05,2.04,5.85,2.7
capricho,5.52,1.83,3.81,2.53,5.88,1.83
caprichoso,5,1.8,4.2,2.21,5.35,1.76
caprichoso,5.9,1.86,4.21,2.13,4.91,2.56
caprichoso,6.65,1.42,4.77,2.91,5.31,2.51
cápsula,5.6,1.93,3.45,2.19,5.56,1.66
captura,5.05,2.01,5.43,2.11,3.57,2.77
captura,5.64,1.76,4,2.14,5.47,2.35
capucha,4.95,1.73,3.33,2.25,4.86,1.52
capuchino,6.37,2.17,3.23,2.2,5.86,1.84
capullo,5.22,1.44,2.85,2.16,4.41,2.22
caqui,5.05,1.32,2.64,2.01,6.08,2.08
cara,6.36,1.54,4.59,2.5,5.96,1.86
cara desprecio,3.3,1.92,4.36,2.36,5,2.13
cara perro,3.95,1.79,4.14,2.27,4.9,1.89
carabina,5.1,1.64,3.12,2.4,5.15,2.25
caracol,4.52,1.73,3.05,2.01,5.58,2.46
característica,5.57,1.66,4.24,2.47,5.37,1.86
característica,5.6,1.27,3.91,2,6.26,1.52
caracterizar,5.5,0.95,3.24,2.31,6.32,1.78
caramelo,6.71,1.87,4.17,2.31,6.11,1.94
caramelo,6.55,2.01,3.48,2.36,5.68,2.36
caramelo,7.27,1.78,5.03,2.33,6.46,1.86
caramelo,6.68,2,4.29,2.8,6.05,2.31
caramelo,6.19,1.91,5,2.1,6.33,1.71
caravana,5.86,1.36,3.8,2.09,5.59,2.26
carbón,6.2,1.47,2.86,1.65,5,2
carbón,4.56,1.95,2.55,1.9,4.88,1.62
carbonizado,3.86,1.53,4.68,1.89,3.9,2.23
carbono,4.5,1.47,4.05,2.06,5.05,1.61
carburador,5.06,1.59,4.55,1.93,4.74,1.6
carcaj,4.52,1.34,4.45,2.4,4.7,2.03
cárcel,5,1.38,4.68,2,5.1,1.97
cárcel,1.91,1.44,4.47,2.5,3.91,2.91
cárcel,2.57,1.41,4.5,2.77,2.89,2.34
cárcel,3.19,1.72,4.11,2.47,4.63,2.43
carcelero,2.61,1.72,4.95,2.85,3.79,2.64
cardíaco,3.73,1.67,4.9,2.79,3.95,2.17
cardinal,6.14,1.52,4.21,2.2,5.2,2.65
cardiología,4.76,1.89,3.32,2.38,5.44,2.45
cardiólogo,4.84,2.36,4.7,2.85,5.25,2.52
cardo,4.95,1.75,3.9,2.57,3.73,2.07
carga,3.05,2.09,3.96,2.16,3.14,1.82
carga,5.21,1.65,2.68,1.46,5.64,1.73
carga,4.43,1.47,4.55,2.37,6.68,2.63
carga trabajo,4.24,1.73,3.92,2.83,4.65,2.58
carga útil,5.42,2.06,5.36,2.22,5.64,2.24
cargador,5.28,2.37,3.59,2.02,5.04,2.5
cargador,4.83,1.72,3.7,2.12,5.16,1.57
cargador,4.48,1.91,2.96,2.18,6.33,2.25
cargar,4.61,1.85,4.25,2.75,5.17,2.38
caricia,6.82,1.45,4.6,2.7,6.38,1.86
caridad,6.85,1.6,3.22,2.32,6.08,2.28
carillón,6.05,1.23,4.1,2.17,6.21,2.16
cariño,6.6,1.31,3.81,2.6,5.6,2.35
cariño,7.27,1.66,4.38,2.65,6.39,2.12
cariño,7.56,1.62,4.35,2.78,5.89,1.71
cariñoso,7.23,1.77,4.77,2.65,6.9,1.94
carisma,6.5,1.67,5.05,1.83,6.28,2.11
carismático,6.95,1.85,4.85,2.39,6.28,2.35
caritativo,7.33,1.15,3.5,2.7,6.56,1.91
carjack,2.32,1.77,6.05,2.21,2.8,2.24
carmesí,5.67,1.35,4.52,2.52,5.04,1.82
carnal,5.16,1.77,6.24,2.26,5.17,1.97
carnaval,6.48,1.81,5.22,3.04,5.55,2.39
carne,5.2,2.07,4.11,2.52,5.29,1.94
carne,6.62,1.77,4.3,2.11,5.58,2.95
carne mechada,5.16,2.57,4.46,2.47,5.57,2.2
carne picada,5.23,1.57,4.14,2.33,5.68,2.03
carne picada,4.05,2.06,3.84,2.01,4.19,2.11
carne vaca,6.11,2.23,4.37,2.31,6.32,1.93
carnicería,3.3,2,5.77,2.35,5.15,2.64
Carnicero,4.4,2.06,4.15,1.93,5.18,1.94
carnívoro,4.52,2.34,4.48,2.02,4.77,2.41
carnoso,4.89,2.02,5.3,2.49,3.95,1.54
caro,3.36,1.99,6.1,2.38,6.21,2.7
caro,3.05,1.28,4.55,2.56,3.93,1.88
caro,4.05,2.27,4.45,2.35,3.54,2.25
carpa,4.55,1.1,4.31,2.53,5.83,2.2
carpeta,5.7,1.75,2.33,1.53,5.42,1.98
carpiano,4.19,1.25,3.79,2.62,4.42,2.34
carpintería,4.87,1.32,4,2.35,6.3,1.95
carpintería,6.14,1.85,3.56,2.4,5.42,1.98
carpintero,5.94,1.8,3.05,1.93,5.12,1.92
carrera,6.11,2.19,4.24,2.49,6.17,2.33
carrera,5.44,1.82,5.2,2.61,4.56,2.06
carrera,6.41,1.4,5.24,2.68,5.44,1.79
carrete,5.5,2.24,3.44,1.95,5.05,1.86
carrete,5.71,1.76,3.37,2.24,5.08,2.16
carretera,5.59,1.53,3.81,2.16,6,2.35
carretilelevadora,4.74,1.69,4.17,2.23,5,2.21
carretilla,5.67,2.11,3,2.05,5.55,2.31
carretilla,5.17,1.15,3.1,1.94,5.87,2.05
carril,4.68,1.2,3.33,2.17,5.35,2.29
carril,5.29,1.98,3.95,2.26,6.95,2.2
carril,5.1,1.26,2.62,2.18,5.5,2.48
carro,3.95,1.35,3.95,2.09,5.25,2.4
carro,6.1,1.48,2.52,1.73,6,1.89
carro,5.37,2.36,3.18,1.92,5.83,1.83
carro,5.21,1.4,3.1,2.17,5.45,1.93
carroñero,3.85,2.03,5.14,2.1,4.29,2.5
carruaje,6.11,1.37,4.11,2.3,6.59,1.84
carrusel,6.7,1.98,4.43,2.31,5.92,2.1
carsick,2.48,1.33,4.04,2.64,3.21,2.46
carta,5.47,1.12,2.95,1.96,5.78,1.65
carta,5.55,1.61,3.84,2.23,5.74,2
carta,5.68,1.57,3.19,1.97,5.97,2.24
cartel,3.7,2.43,3.76,2.3,3.92,2.87
cartel,5.35,0.59,3.14,1.98,5.95,1.5
cartelera,4.25,1.65,4,2.32,5.15,1.97
cartera,5.6,1.53,3.42,2.08,6.42,2.02
carterista,2.35,1.27,6,2.73,3.6,2.44
cartero,5.32,1.73,3.32,2.21,4.82,1.87
cartero,5.83,1.82,3.2,2.44,4.79,2.15
cartílago,4.17,1.47,3.53,2.17,4.08,1.59
cartilla,5.35,1.57,4.55,1.64,5.69,1.64
cartón,4.71,1.06,2.25,1.87,5.26,2.02
cartucho,5.05,1.72,3.06,2.34,5.54,2.38
casa,7.48,1.7,3.78,2.37,6.77,2.03
casa,7.19,1.4,3.95,2.65,6.41,1.88
casa baños,5.32,1.7,4,2.54,5.68,1.86
casa campo,6.63,1.3,2.95,1.94,6.08,2.11
casa Campo,5.81,1.36,3.5,2.44,4.77,1.82
casa club,6.47,1.65,3.77,2.2,5.74,2.07
casa empeño,4.63,1.21,4.15,2.01,4.5,2.06
casa flotante,6.15,1.84,5.75,2.34,5.69,1.74
casa grande,6.62,1.88,4.84,2.69,6.5,2.5
casa huespedes,6.09,1.7,3,1.98,5.65,2.35
casa muñecas,5.6,1.73,3.55,2.26,6,1.7
casa perro,5.1,2.1,2.68,2.1,4.72,2.49
casa pueblo,5.95,1.8,4.3,2.51,4.57,2.25
casa té,6.44,1.62,2.76,1.92,5.61,2.1
casa verano,7.3,1.22,4.82,3.23,5.71,2.27
casa verde,6.4,1.85,3.6,2.39,5.84,2.49
casado,6.9,1.48,4.14,2.41,6.64,2.16
casamentero,5.63,1.71,4,2.37,5.39,2.02
casarse,7.09,2.2,5.52,2.96,5.67,2.33
cascada,6.24,1.89,3.59,2.24,6.76,2.14
cascada,7.79,1.44,4.35,2.82,5.34,2.5
cascanueces,5.45,1.87,4.84,1.95,6.05,2.09
cáscara,5.05,1.73,2.67,2.2,4.91,1.54
cáscara,5,0.79,3.14,1.77,5.56,2.1
cáscara,4.68,0.95,3.71,2.31,5.57,2.03
cáscara,6.05,1.69,3.23,2.02,5.62,1.63
cáscara huevo,5.2,1.7,3.17,2.09,4.33,2.39
cáscara nuez,5.05,0.79,3.95,2.09,5.73,1.61
cascarrabias,3.57,2.04,4.6,2.6,4.26,2.28
casco,5.26,1.19,3.71,2.1,5.52,2.56
casco,5.45,1.54,4.9,2.47,5.64,2.08
casco,4.05,1.72,4.18,2.7,3.89,1.62
caseoso,4.9,2.36,4.09,2.35,4.86,2.35
casero,7.38,1.02,4.08,2.89,6.75,2.2
caseta vigilancia,4.96,1.61,3.67,2.35,4.14,1.96
casete,5.36,1.5,3.77,2.31,5.8,2.24
casi,4.53,1.02,5,1.65,4.43,1.75
casino,4.68,2.19,6.05,1.94,4.84,2.29
caso,5.18,1.4,4.14,2.54,6.11,1.88
caspa,3.05,1.99,4.41,2.15,3.57,1.86
casta,4,2.13,3.38,2.25,3.64,2.4
castaña,5.68,0.95,3.43,2.31,5.63,1.98
castaño,5.89,1.2,3.62,1.8,5.61,2.15
castidad,4,2.03,4.52,2.27,5.62,2.48
castigable,3.42,1.68,4.71,2.55,4.22,1.88
castigar,2.86,2.2,5.85,2.35,3.81,2.46
castigo,2.76,1.74,5.07,2.51,4.11,2.4
castillo,6.42,1.77,4.72,2.24,6.35,2.09
castillo,6.21,1.78,3.45,2.46,6.13,2.1
casto,5.81,1.33,3.5,1.97,4.23,1.82
castor,5,1.84,4.05,2.26,5.15,2.03
castración,2.25,1.74,5.25,2.47,2.95,2.5
castrado,2.19,1.47,5.3,2.87,3.44,2.41
casual,6.05,1.65,3,2.2,6.35,1.72
catalizador,5.3,1.72,3.38,2.6,4.65,2.52
catálogo,5.95,1.39,2.33,1.68,5.76,1.96
catálogo,4.85,1.39,3.73,2.27,6.11,1.66
catamarán,5.29,1.9,4.1,2.13,5.24,2.39
catapulta,5.25,1.52,5.52,2.44,5.29,2.42
catástrofe,2.7,1.81,5.64,2.44,2.5,2.16
catastrófico,2.05,1.1,6.25,2.55,2.28,1.51
catatónico,3.2,1.99,3.18,2.24,4,2.57
catedral,6,1.95,3.45,1.76,5.04,2.34
categoría,5.05,0.6,2.67,1.56,5.48,2.22
catéter,2.84,1.46,3.77,2.6,2.54,1.64
catnip,4.74,2.66,4.57,2.64,4.47,1.65
católica,4.95,2.4,2.83,2.41,4.17,3.03
catorce años,5.42,1.17,3.62,2.13,5.32,2.03
cauce,5.9,1.37,3.64,1.59,5.05,1.99
caucho,4.37,1.95,4.14,2.4,5.38,1.97
cauteloso,3.65,1.09,4.59,1.92,5.11,2.11
cauteloso,6.05,1.22,3.57,2.29,6,2.29
cauteloso,3.9,1.3,3.96,2.59,5.16,2.32
cautiverio,3.14,1.78,5.09,2.65,2.89,2
cautivo,3.27,2.07,4.88,2.53,3.3,2.55
caverna,5.38,1.63,3.63,2.5,4.41,2.34
cavernícola,5.4,2.11,4.14,2.4,5.42,2.27
caviar,5.53,2.44,3.8,2.97,5.53,2.04
cavidad,2.6,2.01,4.77,2.64,4.96,2.62
cayena,5.55,1.99,3.8,2.35,4.95,2.01
caza,3.84,2.01,5.1,2.57,5.3,2.79
caza,4.75,1.62,3.71,2.94,5.76,2.66
caza,3.61,2.21,6.33,1.85,4.09,2.71
caza,3.39,1.69,4.32,2.44,5.04,2.01
cazador furtivo,3.1,1.77,4.86,2.49,4.67,2.7
cazadora,4.61,1.75,4.16,2.79,5.48,2.47
cazuela,6,2,3,2.07,6.08,1.7
cebada,4.95,1.5,3.62,2.33,5.79,2.13
cebo,4,1.83,3.5,2.02,5.95,2.32
cebolla,5.37,1.61,4.95,2.09,4.78,1.98
cebón,3.63,1.83,3.62,2.52,4.52,2.31
cebra,6.47,2.34,3.9,2.75,5.26,2.23
ceceo,3.9,1.89,3.78,2.24,3.5,2.23
ceder,4.75,1.62,3.71,1.49,5.74,2.43
ceder,4.83,1.2,3.95,2.26,4.32,1.63
cedro,6.32,1.52,3.21,1.75,5.1,2.05
céfiro,5.5,1.5,3.41,2.2,5.22,2.5
cegador,3.37,1.42,5.24,2.64,4,2.27
ceguera,2.55,1.61,4.78,2.51,2.38,1.86
ceja,5.11,1.41,3.23,2.18,4.29,1.78
ceja,5.26,1.88,2.91,2.27,5.33,2.26
celda,4.09,2.69,4.23,2.32,4.86,2.26
celebración,7.53,1.5,5.9,2.95,7,1.68
celebrar,7.84,1.3,6.73,1.83,6.12,2.07
celebridad,5.42,2.04,4.86,2.71,4.67,2.08
celeste,6.76,1.51,4.68,2.36,5.18,2.72
celestial,7.89,1.52,4.95,2.94,6.75,1.59
celibato,3.85,1.57,2.71,1.68,5.92,2.59
célibe,3.72,2.19,3,1.85,6.1,2.3
celo,6.15,2.08,5.33,2.71,5.59,2.35
celofán,5.05,1.12,3.64,2.19,4.81,1.81
celos,2.58,1.37,5.45,2.47,3.89,2.45
celoso,2.38,1.43,5.9,2.07,4.68,2.63
celular,5.68,1.25,3.67,2.31,5.74,2.12
celulitis,2.67,1.59,4.67,2.35,4.32,2.19
celuloide,4.3,1.89,2.71,2.22,4.44,2.12
cementerio,3.49,1.83,4.1,2.32,3.82,2.46
cementerio,3.25,1.89,4.89,2.93,3.79,2.28
cemento,4.62,1.53,3.28,2.41,4.84,2.27
cena,6.75,1.52,4.04,2.33,6.43,1.8
cena,6.4,2.02,3.85,2.34,6.05,2.42
cena,6.72,1.81,3.6,2.6,5.64,2.08
cenar,6.6,1.1,4,2.08,6.05,1.84
cenar,5.53,1.22,4.3,1.95,5.26,2.12
cenicero,3.52,1.66,3.48,2.27,5.56,2.38
cenit,5.2,1.79,3.71,2.12,5.36,2.09
ceniza,4.8,1.44,3.91,2.29,5.76,1.73
ceño,3.35,1.35,3.61,2.17,4.95,2.31
ceño,3.24,1.58,4.56,2.58,4.74,2.79
censo,4.91,0.92,3.54,2.04,4.91,2.72
censor,4.1,2,4.45,2.48,4.15,2.48
censura,3.43,1.6,4.25,2.98,3.26,2.26
centavo,5.37,1.61,3.76,1.58,5.3,1.94
centavo,6.29,1.9,5.55,2.52,5.4,2.34
centelleo,6.26,1.79,3.72,2.35,5.82,2.38
centenario,5.58,1.02,2.86,1.77,6.09,1.88
centeno,5.45,1.64,3.78,2.1,5.45,0.96
centinela,4.38,1.94,3.45,1.99,4.44,2.5
centinela,4.16,2.01,3.59,2.56,4.7,1.98
central,5.33,1.2,3.5,1.91,5.76,2.21
central eléctrica,5.3,1.89,6.12,2.18,5.96,2.42
centralita,4.86,0.65,3.65,2.12,5.31,1.67
centro,5.56,1.76,2.62,1.83,5.72,1.56
centro ciudad,5.83,1.42,4.2,2.5,5.54,2.3
centro comercial,4.45,2.26,5.3,2.68,6,1.74
cepillo,5.47,1.26,3.18,1.71,6.18,1.47
cepillo dientes,5.58,1.68,3.38,2.25,6.21,2.19
cepillo pelo,5.95,1.33,4.26,2.35,6,1.73
cera,4.68,1.91,3.64,2.06,6.2,2.21
cera abejas,5.15,1.6,3.62,1.99,5.53,2.54
cerámica,5.21,1.58,2.86,1.64,6,2
cerámica,5.79,1.62,2.75,2.07,6,2.15
cerámico,5.74,1.52,3.57,2.5,5.47,1.35
cerca,5.23,2.09,3.81,2.06,5.94,1.95
cercanía,6.85,1.79,3.9,2.45,6.48,1.99
cercanías,4.63,1.46,3.6,2.33,5.68,2.3
cerceta,5.7,1.78,3.73,2.37,5.7,2.55
cerco,4.1,2.1,5.55,2.44,4.39,2.61
cerda,5.11,1.1,3.71,1.76,5.74,2.07
cerdito,4.71,1.52,3.18,2.17,5.07,2.35
cerdito,6.13,2.42,3.95,2.21,5.75,2.31
cerdo,4.55,2.24,2.9,1.92,4.68,2.17
cerdo,4.83,2.2,3.68,1.73,5.04,2.12
cerdo,5,2.54,3.8,2.88,5.85,1.79
cerdo,3.11,1.7,3.71,2.17,4.78,1.98
cereal,6.45,0.89,3.05,1.88,5.77,1.97
cerebral,4.95,1.91,3.7,2.1,6.76,2.11
cerebro,6.22,1.63,3.35,2.78,6.28,1.81
cerebro,5.15,1.81,5.58,2.65,6.61,1.97
ceremonia,6.38,1.77,3.83,2.74,5.67,2.52
ceremonial,5.67,1.96,4.4,2.58,5.36,1.81
Cereza,7.05,2.01,4.91,2.19,5.63,1.8
cero a izquierda,4.14,1.62,4.43,1.85,4.36,2.5
cerrajero,5.48,1.6,3.83,2.79,5.68,2
cerrar,4.5,1.44,4.05,2.18,5.61,2.3
Cerrar,3.57,1.72,2.92,2.15,5.35,2.3
certeza,6.38,1.75,4.35,2.52,6.05,1.99
certificable,5.16,2.24,4.68,2.32,4.71,2.22
certificado,6,1.75,3.61,2.43,5.47,1.81
certificado,6.06,1.21,4.57,2.23,6.52,1.88
certificar,5.89,1.41,3.62,2.53,5.93,2.11
cervato,6.15,1.76,3.92,2.12,5.73,2.43
cervecería,5.74,2.33,4.75,2.97,5.46,2.3
cerveza,5.67,2.33,4.3,2.98,5.33,1.97
cerveza negra,5.29,1.85,3.35,2.28,4.86,2.92
cerveza raíz,6.11,1.79,3.81,2.91,5.05,2.28
cervical,4.67,1.02,5,2.17,4.67,2.44
cerviz,4.45,1.87,4.58,1.95,4.57,2.4
cesar,3.95,1.69,3.64,2.48,5.17,2.09
césped,6.47,1.26,3.39,2.35,5.67,1.87
césped,6.05,1.84,2.62,1.63,6.04,2.23
césped,4.85,2.01,2.14,1.53,5.08,2.3
césped,4.62,2.09,3.95,2.24,5.66,2.01
cesta,5.66,1.06,2.48,1.4,5.3,1.86
cetro,5.1,1.45,3.6,2.39,5.04,2.21
cha cha,6.52,1.47,5.73,2.12,5.32,1.36
chabola,3.14,1.65,4.56,1.85,4.5,2.15
chacal,4.65,1.6,4.58,2.36,4.57,2.41
chal,4.9,1.25,3.35,1.95,5.24,2.39
chalado,4.44,2.01,4.05,2.72,4.21,1.52
chaleco,5.74,1.69,4.1,2.15,6.25,2
chalet,5.1,1.58,3.83,1.97,4.76,1.79
chamán,5.21,1.4,4.17,2.28,4.69,2.41
champán,6.86,1.67,3.8,2.02,6.47,2.37
champú,5.75,1.33,3.18,2.06,6.32,1.7
chanclas,4.76,1.92,4.04,2.27,5.1,2.26
chantaje,2.59,1.51,5.44,2.28,3.98,2.92
chantaje,4.05,1.93,5.55,2.67,4.7,2.61
chantajista,2.05,1.23,5.11,3.07,2.77,1.93
chapa,5.42,2.17,4.21,2.02,5.14,2.29
chapotear,5.48,1.57,3.05,1.99,5.41,1.74
chapoteo,6.53,1.71,4.8,2.44,5.96,2.07
chaqueta,5.5,1.57,4.22,2.82,5.46,2.19
chaqueta,5.86,1.65,3.35,2.16,6.89,2.51
chaquetón,4.42,1.74,5.29,2.65,5.65,2.25
charada,3.95,1.77,4.23,2.35,4.45,2.19
charco,4.3,1.63,4.33,2.37,4.73,2.45
chardonnay,6.1,1.97,3.58,2.6,4.89,2.13
charla,5.9,1.95,4.44,2.65,5.95,1.93
charla,6,1.82,3.88,2.49,5.74,2.49
charla,5.2,2.04,3.78,2.34,4.04,1.81
charlar,5.75,1.52,4.27,2.51,6.22,1.65
charlatán,4.18,1.71,4.72,2.16,4.48,2.23
charlatán,3.46,1.79,3.76,1.67,4.73,2.43
chaser,4.72,1.51,4.89,2.05,5.33,2.35
chasis,5,1.49,3.86,1.88,5.38,2.27
chasquido,4.42,1.57,3.42,2.17,4.86,2.14
chatarra,4.71,1.59,3.43,2.18,5.18,1.68
chatarrería,4.05,1.79,3.95,2.2,4.82,1.99
chauvinista,2.6,1.14,4.78,2.39,4.41,2.24
chelín,5.25,1.07,2.8,2.04,4.76,1.61
chelín,5.36,1.62,3.76,2.19,5.32,1.84
cheque pago,7.48,1.89,6.77,2.41,6.62,2.31
chequeo,4.48,1.86,4.73,2.37,5.74,2.54
chica,7.43,1.29,4.62,2.4,5.44,2.1
chica,5.27,1.83,4.43,2.41,5.53,1.65
chica,7.15,1.56,5.23,2.68,5.27,2.25
chícharos,6.1,1.68,2.95,1.88,5.72,2.17
chichón,5.05,1.6,4.75,2.15,5.33,1.96
chickpox,3.19,1.83,5.19,2.62,2.86,2.03
chicle,5.89,1.37,3.2,2.33,4.92,2.14
chicloso,5.95,2.39,3.45,2.11,5,2.15
chico,5.84,1.7,4.11,2.49,5.5,2.13
chico,6.55,1.34,4.71,2.28,5.12,1.76
chiflado,3.38,2.25,5.1,2.59,4.05,2.56
chiflado,4.67,2.2,4.25,2.27,4.16,2.39
chiflado,3.86,1.53,4.19,1.86,4.84,2.25
chiflado,6.05,1.8,4.48,2.38,4.05,1.64
chile,4.45,2.28,4.62,1.77,6.3,2.11
chillido,3.5,1.57,6.05,2.84,4.88,2.29
chillido,3.45,1.8,5.37,2.82,4,1.67
chillido,5.14,1.8,5.45,2.68,4.57,2.13
chillón,3.55,1.67,4.33,2.39,5.8,2.18
chillón,3.68,2.21,6.52,2.54,4.96,1.99
chillona,4.63,1.61,4.22,2.29,4.88,2.12
chimenea,4.89,2,2.45,1.7,5.19,2.2
chimenea,5.95,1.5,5.2,3,5.56,2.12
chimpancé,6,1.38,3.8,2.4,4.95,1.56
chimpancé,6.39,2.2,3.9,2.27,5.28,1.51
chinchilla,6.15,1.81,4.43,1.83,5.56,2.18
chingo,4.76,2.39,6.19,2.5,5.09,2.72
chip,6.32,1.25,2.75,1.92,4.58,1.95
chiquita,5.86,1.61,4.78,2.19,5.37,1.83
chiripa,4.3,2.05,4.94,2.58,3.58,2.47
chirriante,3.65,1.27,4.82,1.76,4.58,2.34
chirrido,5.9,2.21,4.15,2.48,5.58,2.08
chirrido,4.95,2.28,4.79,2.49,4.62,2.06
chismes,3.5,1.47,3.91,2.63,3.94,2.66
chismoso,2.95,1.08,6.1,2.26,4.7,2.01
chispa,6.05,1.86,5.83,2.55,4.9,1.87
chivo expiatorio,3,2.13,4.8,2.54,3.65,2.64
chocante,4.63,2.36,5.3,2.68,4.12,1.92
chocar,3.1,1.64,4.33,1.99,3.95,2.01
chocho,4.58,2.59,5.8,2.21,4.58,1.98
chocho,4.32,2.03,5.39,1.97,3.88,2.6
chocolate,7.63,2.01,5.14,2.85,5.88,2.51
